Time,Ecoregion,EcoregionIndex,NumSites,SppBiomass_Abiebrac,SppBiomass_Abiegran,SppBiomass_Acermacr,SppBiomass_Aesccali,SppBiomass_Alnurhom,SppBiomass_Alnurubr,SppBiomass_Arbumenz,SppBiomass_Lithdens,SppBiomass_Pinuatte,SppBiomass_Pinucoul,SppBiomass_Pinulamb,SppBiomass_Pinumono,SppBiomass_Pinupond,SppBiomass_Pinuradi,SppBiomass_Pinusabi,SppBiomass_Platrace,SppBiomass_Popubals,SppBiomass_Pseumacr,SppBiomass_Pseumenz,SppBiomass_Queragri,SppBiomass_Querchry,SppBiomass_Querdoug,SppBiomass_Quergarr,SppBiomass_Querkell,SppBiomass_Querloba,SppBiomass_Querwisl,SppBiomass_Sequsemp,SppBiomass_Umbecali,
10, BS12, 12, 101947, 0.0896949937688853, 0, 0.574129764434583, 0.369759939297506, 0.0678672061265418, 0.0510279082215462, 17.4639383526126, 21.9899471317889, 0.00542526917386158, 1.05211835140602, 9.86050500974242E-06, 4.71721140120168E-05, 0.342544962538101, 1.27187040464939, 0.193033881981037, 0.224157324157395, 0.00275888727092637, 3.78669050195477E-05, 1.45690690506289, 88.586034283189, 13.0483295469916, 0.521890534659286, 0.0648461050302814, 2.62013685101893, 0.677079156822401, 17.7816460453626, 82.7705736936056, 24.5671156109656, 
10, BS13, 13, 40960, 0.00314853614545427, 0, 0.0758435417083092, 0.0212025375512894, 0.00116275885375217, 0.00223122134339064, 1.21372357569635, 1.06010617846623, 0.000891425693407655, 0.383281906758202, 3.68133143638261E-05, 0, 0.00362858757725917, 1.18519841060042, 0.385974196193274, 0.159816295711789, 0, 0.000141372706275433, 0.0162676497595385, 19.6149801016007, 0.268104412546381, 0.503010923712282, 0.0111944519681856, 0.193716558616143, 0.13181883553043, 0.942801232356578, 4.8984762196691, 1.04278864918742, 
10, BS14, 14, 9639, 0.00116342612230032, 0, 0.37921188587296, 0.169653304620753, 0.00655688840282546, 0.0234400281669663, 3.49845403733992, 3.9295283502681, 0.0033117712923001, 0.441229355212798, 0, 0, 0.0191261905619113, 0.424136284785543, 0.447600154290989, 0.194997382220891, 0, 0, 0.0615983947034025, 34.0221184034889, 8.10175632992675, 0.373842852208881, 0.0298073124818775, 0.811149622347978, 0.408061218034159, 1.96448189855191, 15.121745575042, 5.57293479273658, 
10, BS15, 15, 7283, 0.00153978640571918, 0, 0.265207260401059, 0.0256734870217682, 0.00590976731848884, 0.0115028043443417, 3.34385317805441, 2.84250865040876, 0, 0.303858128678221, 0.000138026761530717, 0, 0.0121893171718712, 2.21551401373221, 0.00901646314864792, 0.0865270629551783, 0, 0.000530058679943407, 0.000271283727449718, 17.4671612563704, 0.703223986038382, 0.197324340330053, 0.0123767431139471, 0.723738497043072, 0.240255440622016, 1.44141499111977, 13.9845514720602, 1.49519163760513, 
10, BS16, 16, 55866, 0.184753992915755, 0, 0.795664225933789, 0.081352453348234, 0.284608703945376, 0.0276245523744395, 22.4058887826314, 70.5144697164817, 0.0604381217047696, 0.911574017579909, 0, 0, 0.657719024290431, 3.29172689743228, 0.253441310127768, 0.237623262809972, 0, 0, 4.35587657003676, 96.1615277944393, 10.7213019800336, 0.0564974465261096, 0.0138267770692852, 2.96752435987859, 0.129064071393101, 22.1507178101287, 202.134325495872, 29.2343058610617, 
10, BS17, 17, 2090, 0, 0, 0, 0, 0.00519351502925015, 0, 0.00304680566468307, 0.149753262551778, 0, 0.217168785396375, 0, 0, 0, 11.285706289191, 0.00704928402695359, 0.00823170705275102, 0, 0, 0.0140200610366164, 27.8925117866845, 0, 0, 0, 0, 0, 0.117883538743526, 2.69783269554804, 1.52535279607088, 
20, BS0, 0, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
20, BS1, 1, 1268, 0, 0, 0.00155273136280313, 0.0461508641107601, 0, 0, 1.1449280093521, 0.791465769806871, 0, 0.271107560969678, 0, 0, 0.00660826674771234, 1.4800699842089, 0.00554335324170086, 0.00254460548752866, 0, 0, 0.00442779148790739, 2.82034835830472, 0.428353830842942, 0.00250751889466487, 0, 0.128502610354017, 0.0025075219031012, 0.423717226891864, 9.73490151969792, 0.674544758601143, 
20, BS2, 2, 1621, 0, 0, 0, 0, 0, 0.00148761809276696, 0.0431553845343805, 0.0043369633852884, 0, 0.0849248771679247, 0.000291782569767589, 0.0335774930592748, 0, 0.00318766758075693, 0.0583078677385108, 0.00617381660089605, 0, 0.00564066059129022, 0, 1.5826254720529, 0.879822052532622, 0.0784321474043548, 0, 0.00392293194647853, 0.00392293371145259, 0.25721087623422, 0, 0.21881234829695, 
20, BS3, 3, 280318, 0.120710177817287, 0, 0.3572222828265, 0.299374272519031, 0.0508389753431858, 0.0905574006904817, 13.7457520937521, 13.9385753873863, 0.0248524638867349, 1.19207932922698, 7.99418402391418E-05, 0.00205322342672718, 0.318634945159846, 3.8093995952825, 0.167694753906459, 0.648837817707893, 0.000716440260492385, 0.000298955333881918, 1.45235384910135, 67.7760633573168, 14.1939701907149, 0.211603595872326, 0.0224541921724945, 1.41417113768228, 1.1055307178999, 14.6897649340686, 65.1167500589158, 20.3350055600626, 
20, BS4, 4, 236621, 0.0463417541471857, 0, 0.761601382899556, 0.448138375290167, 0.093826963863221, 0.00257834900063366, 17.3282810380917, 12.8014747236855, 0.0119539770694168, 0.925130445827558, 0, 1.41957360754103E-05, 0.21741323131086, 0.568292622475116, 0.504015439242472, 0.581653482372729, 0.000961912007244207, 0, 1.84784469693322, 92.5249149734713, 4.1648329500943, 0.402341523073883, 0.113937898212408, 2.03654715540697, 0.962268724616084, 26.9068342473796, 158.030082552825, 30.1799991701088, 
20, BS5, 5, 44658, 0.03871884800444, 0, 0.451318731132178, 0.0809798592593027, 0.029853937890581, 0.0828967044023443, 14.3589883210053, 12.3671609479713, 0.0785266528752505, 3.63472324509855, 3.1773447910336E-05, 0.000607935600378141, 0.272642309679881, 0.0116857224120643, 0.728506610187875, 0.586653425426681, 0.00030113762462554, 0.000123345145579549, 2.54435373883758, 43.8955229643002, 12.003515054191, 0.507850067193426, 0.0141877538865623, 0.663611960296822, 0.398257732647618, 22.7856215092022, 71.7696691347789, 16.073507664431, 
20, BS6, 6, 713, 0, 0, 0.406136414446302, 0.0454498387319343, 0.0145067105286586, 0.761422937080201, 11.4018807832523, 14.0747555843744, 0.303576007631684, 0.183575163382467, 0, 0, 0.00264112762114109, 1.78438559755537, 0.443801582946349, 0.113010919445193, 0, 0, 11.6624893018608, 32.9638197753072, 16.0080107091018, 0.0209395862060376, 0, 0.0627926131618976, 0.10855655616664, 1.01744424477533, 86.3319458230849, 14.2982210049623, 
