FFMC,BUI,WSV,WindDir,FWIBin,Season,Ecoregion
90.08,55.28,13,250,4,Spring,All
89.6,58.35,13,50,4,Spring,All
87.28,60.03,16,50,4,Summer,All
87.91,62.92,13,70,5,Summer,All
81.7,51.79,19,50,4,Summer,All
88.87,24.64,11,140,2,Summer,All
89.45,29.28,21,200,2,Summer,All
88.57,34.66,13,230,2,Summer,All
88.86,24.95,24,230,2,Summer,All
90.25,29.9,16,230,2,Summer,All
89.73,39,5,110,3,Summer,All
89.78,44.03,19,230,3,Summer,All
85.49,18.92,37,270,1,Summer,All
87.94,22.84,16,320,1,Summer,All
90.22,27.68,14,270,2,Summer,All
89.24,30.94,8,230,2,Summer,All
86.72,17.91,32,270,1,Summer,All
88.71,22.5,24,230,1,Summer,All
89.42,28.33,35,250,2,Summer,All
90.91,33.5,21,200,2,Summer,All
89.58,36.4,19,270,3,Summer,All
88.26,32.76,10,250,2,Summer,All
89.34,26.84,18,200,2,Summer,All
87.55,21.68,16,320,1,Summer,All
87.54,22.11,16,270,1,Summer,All
86.13,18.24,27,270,1,Summer,All
86.18,15.7,32,50,1,Summer,All
89.2,20.8,13,200,1,Summer,All
89.25,23.98,32,230,2,Summer,All
89.66,16.84,14,360,1,Summer,All
84.77,11.77,32,270,1,Summer,All
84.62,9.13,37,160,1,Summer,All
85.23,8.1,40,250,1,Spring,All
87.77,13.47,23,200,1,Spring,All
87.15,14.96,21,250,1,Spring,All
84.93,9.76,32,270,1,Spring,All
87.18,11.41,32,250,1,Spring,All
88.83,14.19,32,250,1,Spring,All
90.62,17.58,21,200,1,Spring,All
88.73,19.55,26,160,1,Spring,All
85.58,12.39,32,270,1,Spring,All
85.8,11.59,32,270,1,Spring,All
87.33,14.2,45,250,1,Spring,All
89.73,25.55,32,160,2,Spring,All
87.85,28.17,19,70,2,Spring,All
85.23,29.91,23,200,2,Summer,All
89.72,33.72,27,250,2,Summer,All
90.58,36.86,29,250,3,Summer,All
91.38,40.74,31,250,3,Summer,All
92.01,45.46,19,230,3,Summer,All
91.48,49.08,26,200,4,Summer,All
91.53,53.29,23,270,4,Summer,All
83.08,32.37,26,50,2,Summer,All
88.39,14.95,32,230,1,Summer,All
90.49,20.14,35,200,1,Summer,All
86.12,12.53,40,250,1,Summer,All
86.17,10.18,48,250,1,Summer,All
86,11.79,42,290,1,Summer,All
86.05,13.67,32,340,1,Summer,All
86.74,17,32,290,1,Summer,All
89.64,21.92,23,250,1,Summer,All
91.16,27.17,14,20,2,Summer,All
91.42,20.7,23,200,1,Summer,All
90.77,25.44,19,70,2,Summer,All
91.05,20.44,40,270,1,Summer,All
91.1,19.95,32,250,1,Summer,All
87.83,22.22,27,340,1,Summer,All
90.34,32.95,16,360,2,Summer,All
85.86,30.49,19,50,2,Summer,All
88.42,34.61,26,50,2,Summer,All
91.05,39.97,10,230,3,Summer,All
91.15,43.84,14,360,3,Summer,All
89.7,47.27,10,250,4,Summer,All
86.96,15.98,23,50,1,Summer,All
85.66,7.1,61,230,1,Summer,All
85.71,9.65,32,250,1,Summer,All
89.36,14.11,29,270,1,Summer,All
89.07,15.03,23,290,1,Summer,All
87.23,11.4,29,250,1,Summer,All
87.55,12.07,35,270,1,Summer,All
86.55,13.66,35,250,1,Summer,All
87.77,15.73,19,270,1,Summer,All
85.18,8.71,53,200,1,Summer,All
86.86,11.02,35,250,1,Summer,All
86.9,12.96,34,230,1,Summer,All
86.95,14.28,37,270,1,Summer,All
87.05,15.86,39,290,1,Summer,All
86.09,11.34,32,290,1,Summer,All
86.84,12.96,35,270,1,Summer,All
87.2,15.08,45,230,1,Summer,All
86.71,16.76,31,250,1,Summer,All
86.76,17.6,21,270,1,Summer,All
83.66,2.82,56,230,1,Summer,All
89.38,10.56,24,250,1,Spring,All
89.43,12.14,23,290,1,Spring,All
86.26,13.81,32,320,1,Spring,All
88.67,15.76,31,290,1,Spring,All
88.72,17.8,27,200,1,Spring,All
88.77,17.14,35,250,1,Spring,All
89.78,16.27,27,180,1,Spring,All
88.49,14.95,24,160,1,Spring,All
86.61,11.24,26,70,1,Spring,All
90.29,15.78,32,250,1,Spring,All
